Dish name            Price    Category    Vegetarian
Garlic bread         3.00     Starter     Yes
Mixed olives         2.50     Starter     Yes
Salmon cakes         4.00     Starter     No
Minestrone soup      3.50     Starter     No                       
Steak                25.00    Main        No
Mushroom risotto     12.50    Main        Yes
Grilled seabass      14.00    Main        No
Roast chicken        14.50    Main        No
Lasagne              15.00    Main        No
Roasted vegetables   3.50     Side        Yes
Salad                2.00     Side        Yes
Cajun fries          2.50     Side        Yes
French fries         2.50     Side        Yes
Custard tart         1.50     Dessert     Yes
Lemon sorbet         3.50     Dessert     Yes
Rhubarb crumble      3.50     Dessert     Yes
Baked cheesecake     4.00     Dessert     Yes
Coffee               2.00     Drink       Yes
Tea                  1.50     Drink       Yes
Sparkling water      2.50     Drink       Yes
Juice                2.50     Drink       Yes
